Johnny Walker,F,54.00%,0.5
Gregor Gillespie,F,52.82%,4.5
Nate Diaz,F,46.92%,21.5
Jorge Masvidal,F,43.93%,126
Edmen Shahbazyan,F,43.67%,117
Jairzinho Rozenstruik,F,42.65%,102.5
Vicente Luque,F,38.32%,38.5
Kelvin Gastelum,F,30.47%,25
Derrick Lewis,F,30.16%,53.5
Shane Burgos,F,28.02%,110.5
Corey Anderson,F,19.70%,116
Darren Till,F,19.60%,53
Kevin Lee,F,19.35%,110.5
Hakeem Dawodu,F,15.43%,62.5
Stephen Thompson,F,15.33%,109
Lyman Good,F,14.85%,89
Julio Arce,F,14.70%,27
Makwan Amirkhani,F,13.55%,26
Chance Rencountre,F,13.04%,11.5
Blagoy Ivanov,F,12.72%,34
Andrei Arlovski,F,9.44%,2
Jennifer Maia,F,8.96%,37
Brad Tavares,F,6.92%,1.5
Katlyn Chookagian,F,5.26%,66.5